policy,epsilon,node_count,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_mbs,cache_hit_ratio,availability,fairness_index,stddev_latency_ms
epsilon-greedy,0.10,5,39.90,19.50,126.70,153.34,24.7327,0.5000,1.0000,1.0000,0.00
decaying-epsilon,0.00,5,27.40,24.50,54.25,66.85,35.8723,0.5000,1.0000,1.0000,0.00
ucb1,0.00,5,26.60,24.00,51.25,63.85,36.9446,0.5000,1.0000,1.0000,0.00
latency,0.00,5,23.40,11.00,64.45,85.69,41.6319,0.5000,1.0000,1.0000,0.00
random,0.00,5,15.30,9.50,43.15,55.03,63.2165,0.5000,1.0000,1.0000,0.00
epsilon-greedy,0.10,10,13.30,8.00,36.80,49.76,73.2746,0.5000,1.0000,1.0000,0.00
decaying-epsilon,0.00,10,27.80,22.00,68.70,95.34,35.3916,0.5000,1.0000,1.0000,0.00
ucb1,0.00,10,10.50,6.00,31.55,46.31,90.9378,0.5000,1.0000,1.0000,0.00
latency,0.00,10,16.20,10.00,45.85,62.77,60.0650,0.5000,1.0000,1.0000,0.00
random,0.00,10,13.50,9.50,32.60,44.12,71.1671,0.5000,1.0000,1.0000,0.00
epsilon-greedy,0.10,25,22.40,10.50,73.80,108.36,43.6144,0.5000,1.0000,1.0000,0.00
decaying-epsilon,0.00,25,23.80,20.00,59.75,83.15,41.1842,0.5000,1.0000,1.0000,0.00
ucb1,0.00,25,21.90,13.50,62.20,92.44,44.5609,0.5000,1.0000,1.0000,0.00
latency,0.00,25,32.90,24.50,74.35,94.87,29.9898,0.5000,1.0000,1.0000,0.00
random,0.00,25,40.00,32.50,89.90,117.98,24.6583,0.5000,1.0000,1.0000,0.00
