request_index,elapsed_s,latency_ms
0,0.011,10.00
1,0.017,6.00
2,0.022,4.00
3,0.027,5.00
4,0.032,4.00
5,0.036,4.00
6,0.042,5.00
7,0.042,0.00
8,0.052,10.00
9,0.052,0.00
10,0.061,8.00
11,0.063,2.00
12,0.073,9.00
13,0.083,10.00
14,0.089,5.00
15,0.095,5.00
16,0.100,5.00
17,0.106,6.00
18,0.112,5.00
19,0.118,5.00
20,0.124,5.00
21,0.131,7.00
22,0.136,5.00
23,0.143,6.00
24,0.151,7.00
25,0.159,8.00
26,0.167,7.00
27,0.178,11.00
28,0.185,6.00
29,0.190,4.00
30,0.195,5.00
31,0.201,5.00
32,0.211,10.00
33,0.220,9.00
34,0.243,22.00
35,0.253,9.00
36,0.258,5.00
37,0.264,5.00
38,0.272,7.00
39,0.277,4.00
40,0.283,6.00
41,0.288,5.00
42,0.294,6.00
43,0.299,4.00
44,0.304,4.00
45,0.309,4.00
46,0.314,5.00
47,0.318,4.00
48,0.324,5.00
49,0.329,5.00
50,0.334,4.00
51,0.339,5.00
52,0.345,5.00
53,0.349,4.00
54,0.355,5.00
55,0.359,4.00
56,0.364,4.00
57,0.370,5.00
58,0.371,0.00
59,0.379,8.00
60,0.379,0.00
61,0.390,10.00
62,0.395,4.00
63,0.399,4.00
64,0.399,0.00
65,0.411,11.00
66,0.413,2.00
67,0.420,7.00
68,0.425,5.00
69,0.430,5.00
70,0.439,8.00
71,0.441,2.00
72,0.449,7.00
73,0.452,3.00
74,0.459,6.00
75,0.464,5.00
76,0.469,5.00
77,0.473,4.00
78,0.479,5.00
79,0.483,4.00
80,0.489,5.00
81,0.492,3.00
82,0.499,6.00
83,0.503,4.00
84,0.509,6.00
85,0.515,6.00
86,0.521,5.00
87,0.527,6.00
88,0.533,5.00
89,0.537,4.00
90,0.540,3.00
91,0.549,8.00
92,0.552,3.00
93,0.559,6.00
94,0.563,4.00
95,0.569,5.00
96,0.575,6.00
97,0.582,6.00
98,0.586,4.00
99,0.590,3.00
